variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-2122.11294,-2121.86,7.010030304642696,7.131305999999919,-2134.12,-2111.1394999999998,1.0032803358803848,1711.3832811785426,3187.3485712414927
biasM,-0.0372640614535875,-0.0372976,0.047952337611314524,0.047005558718999994,-0.11758665,0.041440774999999846,1.0010699936555225,5148.643003950937,5094.571136153544
biasSD,0.1603098956219375,0.1621175,0.0692090684257253,0.06921443969999999,0.03917434,0.27156695,1.0026323844009282,2158.217102277126,2387.248943268814
