variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-2139.23442125,-2139.07,10.716029767446315,10.808153999999945,-2156.9004999999997,-2121.6394999999998,1.001098994208053,1913.998259943106,3843.8827419305385
biasM,-0.02894414811609625,-0.0291497,0.04313659957248781,0.0426559431627,-0.099548075,0.04210147999999986,0.9999965572469869,9325.647500673002,6625.260512494642
biasSD,0.10893691562532876,0.1062215,0.06456714798978298,0.07111446573,0.011502505000000007,0.21922185,1.0036117958451345,1819.5596076538282,2402.9331147679045
z_bias[1],0.014347291528875,0.014294600000000001,0.8940143692607705,0.8839729701600001,-1.4510985,1.4911004999999984,1.0006471965250423,12081.891507862858,5526.096418895448
z_bias[2],-0.1967506634255,-0.202815,0.9074057904798113,0.8877282477,-1.6864864999999998,1.3037649999999994,1.0010842416247203,10988.757850551643,5026.113717586503
z_bias[3],0.1826452431275,0.19214199999999998,0.906464498606344,0.8910603911999999,-1.348801,1.6680784999999998,1.0007258619339616,13152.605346851453,5605.2657487489705
z_bias[4],0.343584386639,0.3490955,0.9226009890693626,0.9058204154999999,-1.1697859999999998,1.8551299999999993,1.0005730557926806,12199.851175303258,5651.038565289309
z_bias[5],0.4602167243104,0.475027,0.9643468740214752,0.9675610686,-1.14426,2.013378,1.000029351361626,10205.681349025526,5369.610814792038
z_bias[6],0.252065420402375,0.2642595,0.9285828287697754,0.9195581870999999,-1.277984,1.7528869999999999,0.9999348035489176,12441.028898475222,6035.49514334458
z_bias[7],0.2561183362771875,0.268785,0.9373684095144053,0.9181704735,-1.30652,1.7995534999999978,0.9997778956444587,11639.346388001544,5745.616726930513
z_bias[8],0.096163796837375,0.09310245,0.8988707714344042,0.8981694581999999,-1.372843,1.5934215,1.0012379462408476,10375.568582609649,5441.18413089104
z_bias[9],-0.0021779691255000002,-0.011068950000000001,0.910202885461529,0.8960359968,-1.501709,1.5131114999999997,1.0005141217570273,12063.063992016445,6036.356168889231
z_bias[10],0.039648143985625,0.04193575,0.9203341046316464,0.90900837615,-1.461625,1.518551999999995,1.0001306053017602,13750.288433512233,5780.052426881424
z_bias[11],-0.311447017602125,-0.32816,0.910643926588577,0.9042043815,-1.7665899999999999,1.1794204999999995,1.0005780960303325,10540.084387454579,5651.663507307652
z_bias[12],-0.599183796298,-0.6152025000000001,0.9423501675826843,0.9274663754999997,-2.096882,0.9902772999999998,1.000566891733881,8124.568126704102,4801.482009240826
z_bias[13],0.0428252501200875,0.039937349999999996,0.9053436216798768,0.9071389658099998,-1.4214944999999999,1.5217139999999993,1.000229839644078,12847.138084470473,5641.93868011463
z_bias[14],-0.430841538508875,-0.4483515,0.9296335476658162,0.9172527441,-1.942495,1.099624,1.0006332550964234,9405.463505737065,5889.476649206372
z_bias[15],0.651020037058475,0.6693169999999999,0.957411146451382,0.9431947599899999,-0.97582395,2.2064349999999986,1.00016191547706,8851.218494213706,5748.850467544794
z_bias[16],0.2271254578833325,0.23709000000000002,0.9282079424886107,0.9223743858,-1.3178210000000001,1.750816,1.0013523671104418,11957.957937250256,6002.6728294704035
z_bias[17],-0.16950578382940001,-0.167878,0.9211192456114848,0.9049575423,-1.6856305,1.3654654999999993,1.0008449809695863,10849.78385793761,5708.872222153587
z_bias[18],0.195498446741275,0.1910365,0.9153242275749727,0.9339327353999999,-1.329999,1.6911429999999994,1.000727086351997,10911.486273888544,5731.65939188028
z_bias[19],-0.3327219224180125,-0.353425,0.9154828417906744,0.910397943,-1.8218720000000002,1.2044314999999994,1.000758137252539,11420.851611219767,5301.97270606593
z_bias[20],-0.56562681005525,-0.587431,0.9743778329122912,0.9742668684,-2.1145945,1.0714709999999994,1.0009446838816294,8053.523986401806,5412.089814201979
z_bias[21],0.65662183560225,0.674505,1.0098823284854712,0.994457826999,-1.0315729999999999,2.2924839999999995,1.0006234486047907,6252.625243135044,5577.941355087315
z_bias[22],0.239449165088125,0.24569649999999998,0.9174402299851527,0.9064816551,-1.2755009999999998,1.714411499999997,1.000180162668481,10349.988559941059,4459.50738498326
z_bias[23],-0.27454849895075,-0.276873,0.9348029563090823,0.9224233115999999,-1.8059394999999998,1.2779569999999993,1.0002668783541098,11280.134224039748,5640.362354873033
z_bias[24],-0.125408099538,-0.11997,0.9266695459660604,0.925075683,-1.6641124999999999,1.3965815,1.0001912859095243,13805.692971165248,5586.591989926691
