variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-2139.49324,-2139.29,10.851294874458834,10.73402400000035,-2157.6604999999995,-2121.9694999999997,1.0024806221302154,1702.8431936013333,2916.714160859798
biasM,-0.0285079200911375,-0.028978049999999998,0.04399835004433416,0.043132169850000006,-0.1003806,0.0437824499999999,1.0000398889889197,11108.918727612814,6333.386675369071
biasSD,0.10747673404561,0.1028655,0.06503260003569103,0.07209312998999999,0.01102601,0.22229089999999996,1.0052460814140203,2154.9298639537615,3329.7012441906268
weight1M,0.68359562025,0.6822010000000001,0.057715235473417316,0.05642479080000013,0.5904007499999999,0.7797883499999999,1.0001740424397965,7401.903226903549,4819.3656495792275
weight1SD,0.17994258537025,0.180935,0.08419845277935306,0.0864378039,0.034099635,0.3161282999999999,1.0023482601791622,1608.2663834851385,2111.4302072956652
weight2M,0.02138569094516,0.0167271,0.01807580669371279,0.015985259765999998,0.0014269955,0.0564297649999999,1.0003488705326675,7620.053679873647,4075.921609927687
weight2SD,0.0891772070540625,0.0852695,0.05464875372597666,0.059605486709999995,0.0096494265,0.18483864999999988,1.0002582990992681,2244.8865026338913,3467.350689627703
