variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-509.520796375,-509.188,5.908908305692558,5.957828100000025,-519.95225,-500.38895,1.0004901131470214,1790.0929974448186,3290.775234577953
biasM,0.6441908347725,0.6434035,0.1870174263394518,0.17597053530000004,0.34509180000000006,0.9410826499999998,1.0033246112981802,2535.833556756468,3852.162593861824
biasSD,0.51702695985,0.4904545,0.18009865184506738,0.1584098796,0.27646424999999997,0.8504889999999999,1.0006421014850722,2529.5306696292064,4653.693590352579
z_bias[1],0.671093498737625,0.6493015,0.567931738647108,0.5512914666000001,-0.2293113,1.6153404999999998,1.0010382020033428,4168.757415566894,5408.727869308359
z_bias[2],-1.092005234217375,-1.0747200000000001,0.5647525275463813,0.5517636747,-2.0554565,-0.20784945000000069,1.0021303064995328,3866.9954670499815,5181.694374809844
z_bias[3],0.64575600720025,0.621843,0.5858704593730779,0.5689581282,-0.25914544999999994,1.6393929999999994,1.0009136830207792,5270.051299467602,5473.280470003286
z_bias[4],-0.9744460170551875,-0.9513225000000001,0.5685056651795037,0.5519045217,-1.9596415,-0.06995429500000025,1.0017046538629433,4463.570652609238,5097.752917665591
z_bias[5],1.229166370574125,1.1961,0.6146109958358761,0.6020252972999999,0.2786182,2.2801324999999997,1.0015750683464497,4438.599164862513,4891.250785956064
z_bias[6],-0.0779215762269625,-0.07800395,0.5528032722390426,0.5320368662699999,-0.9936541,0.8290433,1.0011459310783337,4696.456631377862,5244.631894977355
z_bias[7],-0.01931105912136375,-0.0211919,0.5484309488993051,0.52676199786,-0.90730245,0.8740170999999999,1.0016839632864234,4704.512930753158,5470.691814831835
z_bias[8],-0.57850483254875,-0.5640594999999999,0.5585810033461484,0.5386182018,-1.5015265,0.32344964999999937,1.001772034260527,4690.368548960461,5220.82923526966
z_bias[9],-0.4756619711524625,-0.46974150000000003,0.5567656096228616,0.5463974039999999,-1.3790185000000001,0.4340128999999994,1.0016252150150933,4233.976136049967,5047.71757386479
z_bias[10],0.923703136735325,0.9007769999999999,0.580663316469708,0.5588304876,0.00811491800000002,1.91224,1.0008476515166713,5118.3776692541705,5764.035777880393
weight1M,0.675650800875,0.6737169999999999,0.10264012409340566,0.09608952990000019,0.512189,0.8466383999999998,1.0005385467382453,3166.360795609328,3173.429192549692
weight1SD,0.22054285417175,0.2079405,0.12863566366712548,0.1203359703,0.03532849500000001,0.45252264999999947,1.0005784579743033,2132.0403361101708,2626.428902558208
weight2M,0.21746972379575,0.2164065,0.07968353743387416,0.0767060175,0.088195115,0.347568,1.0018043267659944,3655.275535677897,2126.678085126399
weight2SD,0.1285299573423875,0.1139695,0.09242235374804994,0.08990264009999999,0.010291490000000002,0.29824384999999975,1.001115620909411,2608.6854607805267,2796.3657888106695
z_weight1[1],-0.484187989383875,-0.4884305,0.7700024766117892,0.7212634023,-1.7411324999999997,0.8294667499999995,1.0008804163136191,7267.6412919936865,5598.797986836274
z_weight1[2],-0.46940011151,-0.472757,0.7514396209706367,0.699102261039,-1.6855585,0.7860631499999986,1.0003460794244599,6363.290383105833,4828.030373120343
z_weight1[3],1.0239228305584125,1.0558800000000002,0.8214801267687332,0.7661557889999997,-0.38682895,2.3299799999999986,1.0003619374051682,6091.502769391416,4129.118183963071
z_weight1[4],0.4113917640254625,0.4025855,0.7622676633872775,0.73347972978,-0.8145945,1.672482499999998,1.000001921455243,6793.8705756883255,4981.651968392726
z_weight1[5],-0.3301616648965,-0.3448835,0.7877696895562336,0.7459590705,-1.616975,0.9909922,1.001124538987357,7574.2702218625745,5860.807315403688
z_weight1[6],0.094912722691,0.09207794999999999,0.7654740838695258,0.7058473275,-1.1514944999999999,1.3709714999999996,1.0002678322358807,6986.308023502986,5445.614031648483
z_weight1[7],-0.2942250922497,-0.307352,0.7693031942228017,0.7242597369,-1.5276265,0.9758232499999999,1.000121852965523,7173.917484146679,5447.487091147558
z_weight1[8],0.458963669101,0.44923349999999995,0.7804953899954892,0.7383807606,-0.8292029499999999,1.7384799999999996,1.000722181722662,7327.010610866483,5795.156802653868
z_weight1[9],0.4186658557455,0.415311,0.7717412538362273,0.72447034023,-0.8591203,1.6906359999999996,1.0004221495516818,6964.044224329236,5456.6500521901435
z_weight1[10],-0.82753661458275,-0.837946,0.7801986105002727,0.7470851051999999,-2.0594205,0.47380749999999894,1.0004011619224404,5577.380136064817,4795.8254258214665
z_weight2[1],0.287999016843125,0.290946,0.8654873662455294,0.8455126953,-1.1689364999999998,1.7074699999999992,1.0010867728738067,8405.431905155836,5520.316642236795
z_weight2[2],-0.053642262179749996,-0.0537462,0.8597839149816416,0.8357478469199999,-1.4609085,1.370632999999999,1.0006047411277845,7942.080730905624,5150.581170697178
z_weight2[3],-0.3835955891719875,-0.397623,0.8845895607384425,0.8670274452,-1.8081250000000002,1.084961,1.0001108006039268,7914.129871988109,5819.409041487847
z_weight2[4],0.086046678614625,0.08397155,0.8582238424120439,0.8156790768,-1.3350395,1.5013075,1.0003010380878565,7200.117451528996,5402.419173566915
z_weight2[5],-0.133009174711875,-0.1393345,0.8685048396079477,0.8451716972999999,-1.5549675,1.2920409999999996,1.0000246367510337,8124.573110112732,5732.2347093310245
z_weight2[6],0.763019054177625,0.790702,0.9260512938255865,0.8832515369999999,-0.8218003999999999,2.2488704999999998,1.0001098673465,6713.629298507531,5932.6994644529905
z_weight2[7],0.369519496508125,0.3845015,0.8783070688694308,0.8327460267,-1.0955095,1.7581434999999992,1.0007641941109855,8316.950714872813,5073.5491180375775
z_weight2[8],-0.064094408945125,-0.075232,0.8694332281366428,0.8535669197999999,-1.4825475,1.3792829999999987,0.9999288709834979,7755.611824316298,5851.490600180669
z_weight2[9],-0.25456960980459375,-0.2545495,0.8600539091566768,0.8296963185,-1.6618845,1.1823764999999997,1.0005960712780768,7869.712500469088,5782.551916797685
z_weight2[10],-0.566308331267125,-0.6030584999999999,0.9050750289180647,0.8810595129,-2.0071269999999997,0.9752010499999992,1.0015749345696128,6765.571917685087,5313.199889827737
bias[1],0.9708703895,0.9615065,0.2356395048670013,0.23012175899999998,0.5996014,1.3723289999999997,1.0001955514038623,10851.42960203739,7003.070437210586
bias[2],0.1126331669247875,0.1152,0.22750594168649796,0.22923256964999997,-0.263876,0.4850408999999998,1.0006735931593136,9813.557246283386,6659.869774403212
bias[3],0.9596144355125,0.9492054999999999,0.2541100247302535,0.24693370170000023,0.5536931500000001,1.389859999999999,1.0008781900735222,8386.360585568878,6402.802277311805
bias[4],0.17051431233275,0.1764655,0.23314198864015087,0.23878370124,-0.21170304999999998,0.5509147999999999,0.9998918053756737,9003.254253501245,5989.656008070226
bias[5],1.24743459225,1.24192,0.27257927400630577,0.2717383409999999,0.8098747500000001,1.7137435,1.0000892070891119,8633.47297420343,6722.321526851487
bias[6],0.6068456022775,0.6060785,0.22960111593199414,0.22800164099999995,0.2344562,0.9862797999999998,1.0002167435749976,11103.981336047309,6603.667658283261
bias[7],0.634895268506125,0.6312605,0.2241173805567019,0.22408683569999996,0.2736286,1.005052,1.0010070962735478,11363.685073580195,6833.885665227761
bias[8],0.3638333629634,0.36536199999999996,0.2266894109056599,0.2292188556000001,-0.010426494999999966,0.7318141999999999,1.0003274393247208,11744.08071375406,6215.778480545341
bias[9],0.4115086175793125,0.41097700000000004,0.2288991923449323,0.22628923799999998,0.03832652500000001,0.79167895,1.0015698641044477,11010.248524841432,6576.454309698944
bias[10],1.0966418155,1.08801,0.24719810021016728,0.2441990460000002,0.701701,1.5165909999999994,1.0004406115560216,10452.559821416758,6082.030528946394
weight1[1],0.563280153752625,0.5763705,0.15989711049742147,0.1542763908,0.2811225,0.8081178499999997,1.000604139283777,6807.990779021489,6901.0722487145995
weight1[2],0.56884233458125,0.578655,0.15293237190470235,0.14990049689999999,0.30504005,0.8024603499999999,1.0003893165916224,7422.393174370997,6325.5481963877455
weight1[3],0.91861023925,0.8916535,0.22345302119124155,0.2244752768999999,0.6090272499999999,1.3241919999999998,1.0002623862650424,3901.7226369630594,6047.320065044956
weight1[4],0.76919116275,0.7510785,0.16460088228141576,0.155628522,0.5346236000000001,1.0621,1.0011814791697928,8065.236327097124,7118.968563608769
weight1[5],0.59792595901125,0.607653,0.16344041430290027,0.15145945079999995,0.3171243,0.8546676499999996,1.0000096791183841,8289.68784386835,6125.67692526684
weight1[6],0.698592742625,0.6927650000000001,0.15585325531562996,0.14263946340000005,0.4512401,0.9660077999999995,1.0002366017718398,11036.136061488825,6143.345736015306
weight1[7],0.608039485025,0.614073,0.1509432447898276,0.14280996240000002,0.3485548,0.8493609499999999,1.000022363936483,9021.384655230586,6723.35226435644
weight1[8],0.780273623875,0.7620685,0.17123320515035237,0.1618139292,0.53052085,1.0866734999999998,0.9999703176567055,7867.434205092646,6787.275103170411
weight1[9],0.772919507125,0.756903,0.1677537684199988,0.16012005869999996,0.52703925,1.0791719999999998,0.9999819874059961,7717.0358487101685,6384.4771055420315
weight1[10],0.48287928834275,0.4981235,0.17758232071748645,0.18156216119999996,0.16682775000000008,0.7457998499999999,1.0005527121098947,4764.800683479348,5656.406410646927
weight2[1],0.26177590934525,0.2510215,0.12469213289148351,0.11129136899999999,0.07861182000000001,0.4879243999999999,1.0007373448821242,8752.32669099432,6584.765000228376
weight2[2],0.208834605882875,0.2103175,0.11411267677940809,0.10439357249999998,0.014064965000000007,0.39509174999999985,1.000462651822525,10001.293944939054,6895.094556343214
weight2[3],0.15629151689525,0.1707955,0.13203823907339496,0.11685452898,-0.081295325,0.34670049999999986,1.0004524413500104,7944.152828584947,7266.244397678978
weight2[4],0.2303412109087125,0.2279305,0.11591154493033823,0.1068176235,0.043229820000000016,0.42287555,0.9998983174350384,9842.94749815816,6781.539614721018
weight2[5],0.196762825850475,0.1997825,0.12297445968362203,0.10827872579999999,-0.014131869999999996,0.3939226,1.000226188491882,9821.655000711104,6962.049175121019
weight2[6],0.336381354847125,0.308425,0.15613894428793884,0.1435460733,0.12910835,0.6327189499999998,1.0003078003847148,4810.264037752888,5785.434412924985
weight2[7],0.2719462449287375,0.259666,0.1246673793753963,0.1138495953,0.09193043000000001,0.4967451499999999,1.000208028546477,8346.564966956099,6814.402849331392
weight2[8],0.206303495701875,0.2076915,0.12029784535170003,0.10808376389999996,0.0020402195000000086,0.39808489999999996,1.0003409083261174,10439.277421654762,6481.452901259799
weight2[9],0.1780535913869375,0.1860115,0.12127959038116914,0.10737804629999997,-0.03481267,0.3643345999999999,1.0001698511415018,8968.38339974032,6801.245701576948
