variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-485.8255355,-485.55949999999996,5.93851013172183,6.057162300000036,-496.02405,-476.5228,1.0048355351146978,1751.3512169589665,3202.454276447155
biasM,0.4764804394355,0.4781305,0.20344791664650277,0.18733021649999995,0.13837850000000002,0.8035061499999993,1.0006144154744134,3364.4702249514576,3984.6926716803446
biasSD,0.576746841375,0.5479935,0.18461334316868785,0.16406748119999998,0.33303255000000004,0.91922495,1.0013590315917253,3242.0773222405774,5313.535049833483
weight1M,0.873494925625,0.88527,0.08257432432634002,0.08385585599999999,0.7227741,0.98642485,1.0011378042181762,4892.667774886156,2992.096581971852
weight1SD,0.2261722657745875,0.215253,0.13016723413576678,0.1233767829,0.03178758,0.45648374999999997,1.0024867754419187,2144.586079846063,2219.4631171568662
weight2M,0.251093458675125,0.248674,0.0896553156430965,0.08576989260000001,0.10808705000000002,0.40016145,1.0009278779495991,4714.659515769551,2970.3103615033524
