variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-419.930710375,-419.52599999999995,3.5830330932759744,3.4774382999999807,-426.50025,-414.78865,1.0037907447256647,1679.2594724703943,2909.288010893812
biasM,0.47957879646975,0.4793585,0.13304300951188702,0.12104539439999998,0.26406,0.7031146999999996,1.003870853923379,2654.0225144851715,2962.7581266402517
biasSD,0.3176778271425,0.3021565,0.15093653425114972,0.1366653267,0.098063785,0.5889365499999999,1.00321303347686,2095.6553915560166,2739.0374367080994
