bias_est,bias_true,weight1_est,weight1_true,weight2_est,weight2_true,trials
-3.455354195,-5,0.3330318946275,0.1,0.329751581713,0.1,12
-3.197753155,-5,0.331627902768,0.1,0.2884811470314533,0.30000000000000004,12
-3.455354195,-5,0.3330318946275,0.1,0.329751581713,0.5,12
-3.112971955,-5,0.31071011285975,0.1,0.5496411325625,0.7000000000000001,12
-2.8739434975,-5,0.41103159587,0.1,0.3705407145995,0.9,12
-3.455354195,-5,0.3330318946275,0.30000000000000004,0.329751581713,0.1,12
-3.2317122525,-5,0.31210482064825,0.30000000000000004,0.39086675290925,0.30000000000000004,12
-3.0465885,-5,0.22996832086405,0.30000000000000004,0.493657259413,0.5,12
-3.23169915,-5,0.36456633180225,0.30000000000000004,0.333491320692225,0.7000000000000001,12
-3.05204935,-5,0.25323151927550003,0.30000000000000004,0.435447069037475,0.9,12
-3.148056245,-5,0.455063611917,0.5,0.5017912674197548,0.1,12
-3.2762902475,-5,0.381201969719824,0.5,0.39124467934575,0.30000000000000004,12
-3.455354195,-5,0.3330318946275,0.5,0.329751581713,0.5,12
-3.170437195,-5,0.24567990226315,0.5,0.27324042740125,0.7000000000000001,12
-2.7839913625,-5,0.392159051816,0.5,0.49613138350725,0.9,12
-3.3175816125,-5,0.4390085768095,0.7000000000000001,0.4386440178975,0.1,12
-3.03618176,-5,0.228890594524225,0.7000000000000001,0.459770370119,0.30000000000000004,12
-3.455354195,-5,0.3330318946275,0.7000000000000001,0.329751581713,0.5,12
-3.237630945,-5,0.44233948320825,0.7000000000000001,0.24498901559275,0.7000000000000001,12
-3.13443474,-5,0.40850846598435,0.7000000000000001,0.49335752721825,0.9,12
-3.455354195,-5,0.3330318946275,0.9,0.329751581713,0.1,12
-3.455354195,-5,0.3330318946275,0.9,0.329751581713,0.30000000000000004,12
-3.22168995,-5,0.356163242469325,0.9,0.300561678325275,0.5,12
-2.9997821275,-5,0.43584796193,0.9,0.57001971960875,0.7000000000000001,12
-3.14844917,-5,0.38084830218065,0.9,0.49630863618645,0.9,12
-3.455354195,-5,0.3330318946275,0.1,0.329751581713,0.1,120
-3.455354195,-5,0.3330318946275,0.1,0.329751581713,0.30000000000000004,120
-3.004899195,-5,0.21349796719135,0.1,0.40471485197275,0.5,120
-3.270764295,-5,0.337386450664375,0.1,0.4359334249476,0.7000000000000001,120
-3.1803509375,-5,0.308530656125175,0.1,0.21277458074365,0.9,120
-3.455354195,-5,0.3330318946275,0.30000000000000004,0.329751581713,0.1,120
-3.455354195,-5,0.3330318946275,0.30000000000000004,0.329751581713,0.30000000000000004,120
-3.303070035,-5,0.3569084966145,0.30000000000000004,0.43453403277095,0.5,120
-3.455354195,-5,0.3330318946275,0.30000000000000004,0.329751581713,0.7000000000000001,120
-2.71834102,-5,0.374863525108,0.30000000000000004,0.356657771631,0.9,120
-3.455354195,-5,0.3330318946275,0.5,0.329751581713,0.1,120
-2.8417690275,-5,0.400229835375,0.5,0.268175475225825,0.30000000000000004,120
-3.26232648,-5,0.36283338066225,0.5,0.35832872885275,0.5,120
-3.455354195,-5,0.3330318946275,0.5,0.329751581713,0.7000000000000001,120
-3.1162813675,-5,0.40735386844475,0.5,0.468188656203725,0.9,120
